#   M/Msun      f_lost      Z=Zsun    Z=0.2 Zsun
  9.9999E+30  0.0000E-00  0.0000E+00  0.0000E+00
  7.9433E+01  1.3793E-02  3.5387E+06  3.7190E+06
  6.3096E+01  2.8438E-02  3.8038E+06  4.0558E+06
  5.0119E+01  4.3950E-02  4.1873E+06  4.5380E+06
  3.9811E+01  6.0328E-02  4.7473E+06  5.2321E+06
  3.1623E+01  7.7549E-02  5.5746E+06  6.2385E+06
  2.5119E+01  9.5559E-02  6.8159E+06  7.7117E+06
  1.9953E+01  1.1426E-01  8.7142E+06  9.8958E+06
  1.5849E+01  1.3349E-01  1.1685E+07  1.3187E+07
  1.2589E+01  1.5523E-01  1.6457E+07  1.8246E+07
  1.0000E+01  1.7848E-01  2.4350E+07  2.6211E+07
  7.9433E+00  2.0251E-01  3.7796E+07  3.9098E+07
  6.3096E+00  2.2854E-01  6.1378E+07  6.0565E+07
  5.0119E+00  2.5591E-01  1.0386E+08  9.7409E+07
  3.9811E+00  2.8451E-01  1.8226E+08  1.6250E+08
  3.1623E+00  3.1418E-01  3.3017E+08  2.8068E+08
  2.5119E+00  3.4468E-01  6.1547E+08  5.0091E+08
  1.9953E+00  3.7558E-01  1.1817E+09  9.2302E+08
  1.5849E+00  4.0632E-01  2.3584E+09  1.7632E+09
  1.2589E+00  4.3605E-01  5.0020E+09  3.5413E+09
  1.0000E+00  4.6357E-01  1.1582E+10  7.6779E+09
  7.9433E-01  4.8637E-01  2.8709E+10  1.8255E+10
  6.3096E-01  4.9585E-01  6.7526E+10  4.4663E+10
  5.0119E-01  4.9585E-01  1.3469E+11  9.7627E+10
  3.9811E-01  4.9585E-01  2.3395E+11  1.8082E+11
  3.1623E-01  4.9585E-01  3.8144E+11  3.0263E+11
  2.5119E-01  4.9585E-01  6.0900E+11  4.8712E+11
  1.9953E-01  4.9585E-01  9.6670E+11  7.7489E+11
  1.5849E-01  4.9585E-01  1.5324E+12  1.2289E+12
  1.2589E-01  4.9585E-01  2.4284E+12  1.9476E+12
  1.0000E-01  4.9585E-01  3.8485E+12  3.0865E+12

